I,II,III,aVR,aVL,aVF
-0.011,-0.05,-0.039,0.031,0.014,-0.044
-0.021,-0.051,-0.029,0.036,0.004,-0.04
-0.031,-0.049,-0.018,0.04,-0.007,-0.033
-0.03,-0.04,-0.01,0.035,-0.01,-0.025
-0.034,-0.032,0.002,0.032,-0.018,-0.015
-0.036,-0.024,0.012,0.03,-0.024,-0.005
-0.032,-0.016,0.016,0.023,-0.024,0.0
-0.023,-0.008,0.015,0.015,-0.019,0.003
-0.015,0.0,0.015,0.007,-0.015,0.007
-0.012,0.004,0.016,0.004,-0.014,0.01
-0.001,0.011,0.011,-0.006,-0.007,0.011
-0.01,0.018,0.028,-0.005,-0.019,0.023
-0.034,0.019,0.054,0.007,-0.044,0.037
-0.04,0.015,0.055,0.012,-0.048,0.035
-0.04,0.015,0.055,0.012,-0.048,0.035
-0.04,0.015,0.055,0.012,-0.048,0.035
-0.04,0.015,0.055,0.012,-0.048,0.035
-0.04,0.015,0.055,0.012,-0.048,0.035
-0.04,0.015,0.055,0.012,-0.048,0.035
-0.04,0.015,0.055,0.012,-0.048,0.035
-0.037,0.018,0.055,0.009,-0.046,0.036
-0.033,0.022,0.055,0.005,-0.044,0.038
-0.029,0.026,0.055,0.001,-0.042,0.04
-0.025,0.03,0.055,-0.003,-0.04,0.042
-0.021,0.034,0.055,-0.007,-0.038,0.044
-0.017,0.038,0.055,-0.011,-0.036,0.046
-0.013,0.042,0.055,-0.015,-0.034,0.048
-0.009,0.046,0.055,-0.019,-0.032,0.05
-0.005,0.05,0.055,-0.023,-0.03,0.052
-0.007,0.05,0.057,-0.022,-0.032,0.053
0.01,0.055,0.045,-0.033,-0.018,0.05
0.008,0.065,0.056,-0.037,-0.024,0.06
-0.005,0.071,0.076,-0.034,-0.041,0.073
0.01,0.075,0.065,-0.043,-0.028,0.07
0.019,0.079,0.06,-0.049,-0.021,0.07
0.02,0.081,0.062,-0.05,-0.021,0.071
0.006,0.093,0.086,-0.049,-0.041,0.089
-0.006,0.107,0.113,-0.051,-0.06,0.11
0.0,0.11,0.11,-0.055,-0.055,0.11
0.0,0.11,0.11,-0.055,-0.055,0.11
0.0,0.11,0.11,-0.055,-0.055,0.11
0.0,0.11,0.11,-0.055,-0.055,0.11
0.0,0.11,0.11,-0.055,-0.055,0.11
0.0,0.11,0.11,-0.055,-0.055,0.11
0.001,0.111,0.11,-0.056,-0.054,0.111
-0.006,0.104,0.11,-0.049,-0.058,0.107
0.004,0.114,0.11,-0.059,-0.054,0.111
0.032,0.142,0.11,-0.087,-0.039,0.126
0.05,0.16,0.11,-0.105,-0.03,0.135
0.047,0.157,0.11,-0.102,-0.032,0.133
0.044,0.154,0.11,-0.099,-0.034,0.131
0.046,0.156,0.11,-0.101,-0.032,0.132
0.044,0.154,0.11,-0.099,-0.034,0.131
0.045,0.155,0.11,-0.1,-0.033,0.132
0.073,0.182,0.109,-0.128,-0.018,0.145
0.089,0.208,0.118,-0.149,-0.015,0.163
0.09,0.219,0.129,-0.155,-0.02,0.174
0.099,0.228,0.129,-0.164,-0.015,0.178
0.115,0.245,0.13,-0.18,-0.008,0.187
0.103,0.258,0.155,-0.18,-0.026,0.207
0.104,0.263,0.159,-0.184,-0.028,0.211
0.114,0.268,0.154,-0.191,-0.02,0.21
0.114,0.27,0.155,-0.192,-0.02,0.212
0.115,0.27,0.155,-0.193,-0.02,0.212
0.131,0.286,0.155,-0.209,-0.012,0.22
0.142,0.297,0.155,-0.22,-0.007,0.225
0.151,0.305,0.154,-0.228,-0.002,0.229
0.163,0.319,0.157,-0.241,0.002,0.238
0.165,0.335,0.17,-0.25,-0.003,0.252
0.153,0.34,0.187,-0.247,-0.017,0.263
0.145,0.339,0.194,-0.242,-0.025,0.267
0.147,0.343,0.195,-0.246,-0.024,0.268
0.149,0.344,0.195,-0.247,-0.023,0.27
0.15,0.345,0.195,-0.248,-0.023,0.27
0.171,0.366,0.195,-0.269,-0.012,0.28
0.175,0.37,0.195,-0.273,-0.01,0.282
0.183,0.378,0.196,-0.281,-0.007,0.287
0.204,0.398,0.194,-0.302,0.005,0.296
0.205,0.4,0.195,-0.303,0.005,0.297
0.181,0.4,0.219,-0.291,-0.019,0.309
0.166,0.4,0.233,-0.284,-0.033,0.316
0.164,0.401,0.237,-0.283,-0.037,0.319
0.157,0.397,0.24,-0.277,-0.041,0.319
0.16,0.395,0.235,-0.278,-0.038,0.315
0.203,0.433,0.23,-0.318,-0.014,0.332
0.208,0.439,0.23,-0.323,-0.011,0.335
0.196,0.424,0.228,-0.311,-0.016,0.326
0.194,0.418,0.225,-0.306,-0.016,0.321
0.185,0.41,0.225,-0.298,-0.02,0.317
0.181,0.402,0.221,-0.292,-0.02,0.311
0.174,0.394,0.22,-0.284,-0.023,0.307
0.169,0.388,0.219,-0.278,-0.025,0.303
0.17,0.384,0.214,-0.278,-0.022,0.299
0.17,0.38,0.21,-0.275,-0.02,0.295
0.166,0.376,0.21,-0.271,-0.023,0.293
0.164,0.371,0.207,-0.268,-0.022,0.288
0.166,0.371,0.205,-0.269,-0.019,0.287
0.163,0.367,0.204,-0.266,-0.02,0.285
0.15,0.35,0.2,-0.25,-0.025,0.275
0.133,0.334,0.201,-0.233,-0.034,0.267
0.126,0.318,0.192,-0.222,-0.033,0.255
0.122,0.302,0.18,-0.213,-0.029,0.241
0.112,0.285,0.173,-0.199,-0.031,0.229
0.1,0.265,0.165,-0.183,-0.033,0.215
0.092,0.245,0.153,-0.168,-0.031,0.199
0.083,0.227,0.144,-0.155,-0.03,0.185
0.078,0.214,0.136,-0.146,-0.029,0.175
0.073,0.201,0.129,-0.137,-0.029,0.164
0.06,0.185,0.125,-0.123,-0.033,0.155
0.053,0.173,0.121,-0.113,-0.034,0.147
0.038,0.158,0.12,-0.098,-0.041,0.139
0.025,0.143,0.118,-0.084,-0.047,0.131
0.018,0.132,0.115,-0.076,-0.049,0.124
0.005,0.12,0.115,-0.063,-0.055,0.117
-0.006,0.105,0.111,-0.05,-0.059,0.107
0.007,0.117,0.11,-0.062,-0.052,0.113
0.017,0.126,0.109,-0.072,-0.046,0.117
0.015,0.118,0.104,-0.067,-0.045,0.11
0.015,0.115,0.1,-0.065,-0.043,0.107
0.011,0.111,0.1,-0.061,-0.045,0.106
0.01,0.107,0.097,-0.059,-0.044,0.102
0.008,0.103,0.095,-0.056,-0.044,0.099
0.005,0.099,0.094,-0.052,-0.045,0.096
0.005,0.095,0.09,-0.05,-0.043,0.092
0.0,0.091,0.09,-0.045,-0.045,0.09
0.003,0.09,0.087,-0.046,-0.042,0.088
0.006,0.09,0.084,-0.048,-0.039,0.087
0.005,0.09,0.085,-0.048,-0.04,0.087
0.005,0.09,0.085,-0.048,-0.04,0.087
0.004,0.09,0.085,-0.048,-0.04,0.087
0.009,0.091,0.082,-0.05,-0.037,0.086
0.009,0.088,0.079,-0.048,-0.036,0.084
0.005,0.085,0.08,-0.045,-0.038,0.082
0.005,0.085,0.08,-0.045,-0.038,0.082
0.005,0.085,0.08,-0.045,-0.038,0.082
0.008,0.085,0.077,-0.047,-0.035,0.081
0.01,0.085,0.074,-0.048,-0.032,0.08
0.01,0.085,0.075,-0.048,-0.033,0.08
0.01,0.085,0.075,-0.048,-0.033,0.08
0.006,0.081,0.075,-0.044,-0.035,0.077
0.004,0.08,0.076,-0.042,-0.036,0.077
0.007,0.08,0.073,-0.044,-0.033,0.076
0.01,0.08,0.07,-0.045,-0.03,0.075
0.01,0.08,0.07,-0.045,-0.03,0.075
0.01,0.08,0.07,-0.045,-0.03,0.075
0.01,0.081,0.071,-0.045,-0.03,0.076
0.01,0.078,0.068,-0.044,-0.029,0.073
0.01,0.075,0.065,-0.043,-0.028,0.07
0.01,0.075,0.065,-0.043,-0.028,0.07
0.01,0.075,0.065,-0.043,-0.028,0.07
0.007,0.072,0.065,-0.04,-0.029,0.068
0.005,0.07,0.065,-0.038,-0.03,0.066
0.004,0.07,0.066,-0.038,-0.031,0.068
0.0,0.07,0.07,-0.035,-0.035,0.07
0.001,0.07,0.07,-0.035,-0.035,0.07
-0.006,0.067,0.073,-0.031,-0.04,0.07
-0.012,0.064,0.076,-0.027,-0.044,0.07
-0.009,0.065,0.074,-0.029,-0.042,0.07
-0.005,0.065,0.07,-0.03,-0.038,0.067
-0.009,0.061,0.07,-0.026,-0.04,0.065
-0.007,0.06,0.067,-0.026,-0.037,0.063
-0.004,0.06,0.064,-0.028,-0.034,0.062
-0.005,0.06,0.065,-0.028,-0.035,0.062
-0.005,0.06,0.065,-0.028,-0.035,0.062
-0.005,0.056,0.061,-0.026,-0.033,0.058
-0.005,0.055,0.06,-0.024,-0.033,0.057
-0.003,0.055,0.058,-0.026,-0.031,0.056
0.001,0.055,0.054,-0.028,-0.027,0.055
0.0,0.055,0.055,-0.028,-0.028,0.055
-0.005,0.051,0.055,-0.024,-0.03,0.053
-0.002,0.05,0.052,-0.024,-0.027,0.051
0.0,0.048,0.048,-0.024,-0.024,0.048
0.001,0.045,0.044,-0.023,-0.022,0.044
0.005,0.045,0.04,-0.025,-0.018,0.042
0.005,0.041,0.036,-0.023,-0.016,0.038
0.008,0.04,0.032,-0.024,-0.012,0.036
0.011,0.038,0.027,-0.025,-0.008,0.033
0.009,0.035,0.025,-0.022,-0.009,0.03
0.005,0.035,0.03,-0.02,-0.013,0.032
0.001,0.031,0.03,-0.016,-0.015,0.03
0.0,0.03,0.03,-0.015,-0.015,0.03
-0.002,0.028,0.03,-0.013,-0.016,0.029
-0.005,0.025,0.03,-0.01,-0.018,0.027
-0.005,0.025,0.03,-0.01,-0.018,0.027
-0.01,0.021,0.03,-0.006,-0.02,0.026
-0.007,0.02,0.027,-0.007,-0.017,0.023
-0.004,0.019,0.023,-0.008,-0.014,0.02
-0.005,0.014,0.019,-0.004,-0.013,0.016
-0.005,0.01,0.015,-0.003,-0.01,0.012
-0.001,0.01,0.011,-0.005,-0.006,0.011
0.001,0.008,0.007,-0.004,-0.003,0.007
-0.001,0.002,0.003,-0.001,-0.003,0.003
0.002,0.0,-0.002,-0.001,0.002,-0.001
0.01,0.0,-0.01,-0.005,0.01,-0.005
0.006,-0.008,-0.014,0.001,0.01,-0.01
0.007,-0.014,-0.021,0.004,0.014,-0.017
0.012,-0.016,-0.028,0.002,0.021,-0.022
0.008,-0.022,-0.029,0.007,0.018,-0.026
-0.005,-0.03,-0.025,0.018,0.01,-0.027
-0.009,-0.034,-0.025,0.022,0.008,-0.029
-0.013,-0.038,-0.025,0.026,0.006,-0.031
-0.017,-0.042,-0.025,0.03,0.004,-0.033
-0.02,-0.045,-0.025,0.033,0.003,-0.035
-0.02,-0.045,-0.025,0.033,0.003,-0.035
-0.02,-0.045,-0.025,0.033,0.003,-0.035
-0.02,-0.045,-0.025,0.033,0.003,-0.035
-0.02,-0.045,-0.025,0.033,0.003,-0.035
-0.02,-0.045,-0.025,0.033,0.003,-0.035
-0.02,-0.045,-0.025,0.033,0.003,-0.035
-0.022,-0.045,-0.023,0.034,0.001,-0.034
-0.005,-0.045,-0.04,0.025,0.018,-0.042
0.01,-0.045,-0.055,0.018,0.033,-0.049
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.01,-0.045,-0.055,0.018,0.033,-0.05
0.002,-0.049,-0.051,0.024,0.026,-0.05
-0.001,-0.051,-0.05,0.026,0.024,-0.05
0.002,-0.048,-0.05,0.023,0.026,-0.049
0.005,-0.045,-0.05,0.02,0.028,-0.047
0.005,-0.045,-0.05,0.02,0.028,-0.047
0.005,-0.045,-0.051,0.02,0.028,-0.047
0.006,-0.042,-0.047,0.018,0.027,-0.045
0.02,-0.039,-0.059,0.01,0.039,-0.049
0.038,-0.04,-0.078,0.002,0.058,-0.059
0.04,-0.04,-0.08,0.0,0.06,-0.06
0.043,-0.037,-0.08,-0.003,0.062,-0.058
0.054,-0.026,-0.08,-0.014,0.067,-0.053
0.031,-0.049,-0.08,0.009,0.056,-0.064
-0.004,-0.084,-0.08,0.044,0.038,-0.082
0.0,-0.08,-0.08,0.04,0.04,-0.08
0.0,-0.079,-0.08,0.04,0.04,-0.08
0.003,-0.08,-0.083,0.039,0.043,-0.081
0.006,-0.08,-0.086,0.038,0.046,-0.082
0.005,-0.08,-0.085,0.038,0.045,-0.082
0.005,-0.08,-0.085,0.038,0.045,-0.082
0.005,-0.08,-0.085,0.038,0.045,-0.082
0.002,-0.083,-0.085,0.041,0.043,-0.084
-0.016,-0.101,-0.085,0.059,0.035,-0.093
-0.032,-0.117,-0.085,0.075,0.027,-0.101
-0.03,-0.115,-0.085,0.073,0.028,-0.1
-0.03,-0.115,-0.085,0.073,0.028,-0.1
-0.03,-0.115,-0.085,0.073,0.028,-0.1
-0.03,-0.115,-0.085,0.073,0.028,-0.1
-0.029,-0.115,-0.086,0.073,0.029,-0.1
-0.025,-0.115,-0.09,0.07,0.033,-0.102
-0.025,-0.115,-0.09,0.07,0.033,-0.102
-0.026,-0.115,-0.089,0.07,0.032,-0.102
-0.023,-0.115,-0.092,0.069,0.035,-0.103
-0.02,-0.115,-0.095,0.068,0.038,-0.105
-0.02,-0.115,-0.095,0.068,0.038,-0.105
-0.019,-0.115,-0.096,0.068,0.039,-0.106
-0.026,-0.115,-0.089,0.07,0.032,-0.102
-0.016,-0.115,-0.099,0.066,0.042,-0.106
0.003,-0.115,-0.118,0.056,0.061,-0.117
0.005,-0.115,-0.12,0.055,0.063,-0.117
0.005,-0.115,-0.12,0.055,0.063,-0.117
0.002,-0.118,-0.12,0.058,0.061,-0.119
-0.001,-0.121,-0.12,0.061,0.06,-0.12
-0.009,-0.129,-0.12,0.069,0.056,-0.124
-0.025,-0.145,-0.12,0.085,0.048,-0.132
-0.018,-0.138,-0.12,0.078,0.052,-0.129
-0.012,-0.128,-0.117,0.07,0.053,-0.122
-0.006,-0.121,-0.115,0.064,0.055,-0.118
0.001,-0.113,-0.114,0.056,0.058,-0.114
0.005,-0.105,-0.11,0.05,0.058,-0.107
0.013,-0.097,-0.11,0.042,0.062,-0.103
0.022,-0.089,-0.111,0.033,0.067,-0.099
0.025,-0.083,-0.108,0.029,0.067,-0.095
0.026,-0.079,-0.105,0.027,0.065,-0.091
0.03,-0.075,-0.105,0.023,0.068,-0.09
0.029,-0.071,-0.101,0.021,0.065,-0.086
0.034,-0.066,-0.099,0.016,0.066,-0.083
0.017,-0.084,-0.101,0.034,0.059,-0.092
-0.008,-0.107,-0.099,0.058,0.046,-0.103
-0.005,-0.1,-0.095,0.053,0.045,-0.097
-0.005,-0.1,-0.095,0.053,0.045,-0.097
-0.001,-0.097,-0.096,0.05,0.047,-0.096
-0.002,-0.095,-0.093,0.049,0.046,-0.094
-0.005,-0.094,-0.09,0.049,0.043,-0.091
0.0,-0.09,-0.09,0.045,0.045,-0.09
0.0,-0.09,-0.09,0.045,0.045,-0.09
0.0,-0.087,-0.087,0.044,0.044,-0.087
-0.001,-0.085,-0.084,0.043,0.043,-0.085
0.001,-0.084,-0.085,0.042,0.044,-0.085
0.005,-0.08,-0.085,0.038,0.045,-0.082
0.001,-0.08,-0.081,0.04,0.041,-0.08
0.002,-0.077,-0.079,0.037,0.041,-0.078
0.006,-0.074,-0.081,0.034,0.044,-0.077
0.004,-0.075,-0.079,0.036,0.042,-0.077
0.0,-0.075,-0.075,0.038,0.038,-0.075
0.0,-0.075,-0.075,0.038,0.038,-0.075
0.001,-0.075,-0.076,0.037,0.039,-0.075
-0.003,-0.076,-0.073,0.04,0.036,-0.074
-0.004,-0.074,-0.07,0.039,0.033,-0.071
0.005,-0.065,-0.07,0.03,0.038,-0.067
0.01,-0.061,-0.07,0.025,0.04,-0.065
0.01,-0.058,-0.067,0.024,0.039,-0.063
0.012,-0.051,-0.063,0.02,0.038,-0.057
0.016,-0.043,-0.059,0.014,0.038,-0.051
0.015,-0.04,-0.055,0.013,0.035,-0.047
0.014,-0.037,-0.051,0.011,0.033,-0.043
0.021,-0.026,-0.047,0.003,0.034,-0.036
0.028,-0.015,-0.044,-0.006,0.036,-0.029
0.029,-0.008,-0.038,-0.011,0.033,-0.023
0.025,0.0,-0.025,-0.012,0.025,-0.012
0.025,0.008,-0.017,-0.016,0.021,-0.004
0.025,0.016,-0.009,-0.02,0.017,0.003
0.026,0.025,-0.001,-0.025,0.013,0.011
0.023,0.03,0.007,-0.027,0.008,0.018
0.01,0.025,0.015,-0.018,-0.003,0.02
-0.002,0.022,0.024,-0.01,-0.014,0.023
0.022,0.044,0.023,-0.033,-0.001,0.033
0.038,0.057,0.019,-0.047,0.009,0.038
0.046,0.066,0.02,-0.056,0.013,0.043
0.075,0.095,0.02,-0.085,0.027,0.057
0.072,0.092,0.02,-0.082,0.026,0.056
0.069,0.089,0.02,-0.079,0.025,0.055
0.069,0.088,0.02,-0.078,0.024,0.054
0.064,0.085,0.02,-0.075,0.022,0.052
0.065,0.085,0.02,-0.075,0.022,0.052
0.065,0.081,0.016,-0.073,0.024,0.048
0.066,0.08,0.015,-0.073,0.026,0.047
0.063,0.078,0.015,-0.071,0.024,0.046
0.06,0.075,0.015,-0.068,0.022,0.045
0.06,0.075,0.015,-0.068,0.022,0.045
0.056,0.071,0.015,-0.064,0.02,0.042
0.056,0.071,0.015,-0.064,0.021,0.042
0.05,0.065,0.015,-0.058,0.017,0.04
0.038,0.052,0.014,-0.046,0.012,0.033
0.035,0.045,0.01,-0.04,0.012,0.027
0.027,0.037,0.01,-0.032,0.008,0.023
0.022,0.029,0.007,-0.026,0.007,0.018
0.016,0.021,0.005,-0.019,0.005,0.013
0.008,0.013,0.004,-0.011,0.002,0.008
0.005,0.005,0.0,-0.005,0.002,0.002
0.001,0.001,0.0,-0.001,0.001,0.0
-0.004,-0.003,0.001,0.004,-0.002,-0.001
-0.003,-0.005,-0.002,0.004,0.0,-0.003
-0.001,-0.006,-0.005,0.004,0.003,-0.005
-0.005,-0.01,-0.005,0.008,0.0,-0.007
-0.001,-0.01,-0.009,0.005,0.004,-0.009
-0.003,-0.013,-0.01,0.008,0.004,-0.011
-0.003,-0.015,-0.012,0.01,0.005,-0.013
0.0,-0.015,-0.015,0.008,0.008,-0.015
-0.005,-0.02,-0.015,0.013,0.005,-0.017
-0.009,-0.025,-0.016,0.017,0.004,-0.02
-0.018,-0.025,-0.007,0.021,-0.005,-0.016
-0.033,-0.027,0.006,0.03,-0.019,-0.01
-0.04,-0.03,0.01,0.035,-0.025,-0.01
-0.035,-0.03,0.005,0.032,-0.02,-0.012
-0.039,-0.034,0.005,0.036,-0.022,-0.014
-0.038,-0.036,0.002,0.037,-0.019,-0.017
-0.033,-0.033,0.0,0.033,-0.016,-0.016
-0.029,-0.03,-0.001,0.029,-0.014,-0.015
-0.025,-0.03,-0.005,0.028,-0.01,-0.017
-0.026,-0.031,-0.005,0.029,-0.011,-0.017
-0.019,-0.027,-0.008,0.023,-0.006,-0.018
-0.03,-0.04,-0.01,0.035,-0.01,-0.025
-0.046,-0.057,-0.011,0.051,-0.017,-0.033
-0.035,-0.05,-0.015,0.043,-0.01,-0.032
-0.031,-0.045,-0.015,0.038,-0.008,-0.03
-0.027,-0.045,-0.018,0.036,-0.004,-0.031
-0.024,-0.044,-0.02,0.034,-0.002,-0.031
-0.017,-0.038,-0.021,0.028,0.002,-0.03
-0.01,-0.035,-0.025,0.023,0.008,-0.03
-0.016,-0.037,-0.021,0.027,0.003,-0.029
0.036,-0.021,-0.056,-0.007,0.046,-0.038
0.042,-0.037,-0.078,-0.002,0.06,-0.057
0.001,-0.067,-0.068,0.033,0.035,-0.067
0.02,-0.05,-0.07,0.015,0.045,-0.06
0.025,-0.042,-0.067,0.009,0.046,-0.054
0.03,-0.03,-0.06,0.001,0.046,-0.045
0.055,-0.024,-0.079,-0.015,0.068,-0.051
0.087,-0.006,-0.093,-0.04,0.091,-0.05
0.115,0.05,-0.065,-0.082,0.09,-0.007
0.17,0.125,-0.045,-0.147,0.107,0.04
0.259,0.248,-0.011,-0.254,0.135,0.119
0.295,0.404,0.11,-0.35,0.092,0.257
0.306,0.575,0.269,-0.441,0.018,0.421
0.4,0.765,0.365,-0.583,0.017,0.565
0.5,0.954,0.453,-0.727,0.023,0.703
0.491,1.106,0.615,-0.799,-0.062,0.861
0.464,1.292,0.828,-0.878,-0.182,1.06
0.407,1.404,0.997,-0.906,-0.295,1.2
0.275,1.325,1.05,-0.8,-0.388,1.187
0.267,1.273,1.006,-0.77,-0.369,1.139
0.245,1.128,0.883,-0.687,-0.319,1.005
0.151,0.959,0.809,-0.555,-0.329,0.884
0.031,0.842,0.811,-0.437,-0.39,0.827
-0.065,0.725,0.79,-0.33,-0.428,0.757
-0.127,0.586,0.714,-0.229,-0.421,0.65
-0.171,0.443,0.614,-0.137,-0.392,0.528
-0.16,0.327,0.487,-0.084,-0.324,0.407
-0.116,0.248,0.364,-0.066,-0.24,0.305
-0.105,0.185,0.29,-0.04,-0.198,0.237
-0.117,0.121,0.238,-0.002,-0.177,0.179
-0.089,0.097,0.185,-0.005,-0.137,0.141
-0.063,0.092,0.155,-0.015,-0.109,0.123
-0.066,0.083,0.149,-0.009,-0.108,0.115
-0.065,0.075,0.14,-0.005,-0.103,0.107
-0.069,0.063,0.132,0.003,-0.1,0.097
-0.072,0.054,0.125,0.009,-0.098,0.09
-0.066,0.046,0.111,0.01,-0.088,0.078
-0.051,0.039,0.089,0.006,-0.07,0.064
-0.035,0.035,0.07,0.0,-0.053,0.052
-0.026,0.031,0.057,-0.003,-0.042,0.044
-0.023,0.026,0.049,-0.002,-0.036,0.038
-0.014,0.025,0.039,-0.006,-0.027,0.032
-0.003,0.024,0.028,-0.011,-0.016,0.026
0.0,0.02,0.02,-0.01,-0.01,0.02
0.007,0.016,0.008,-0.012,-0.001,0.012
0.019,0.015,-0.004,-0.017,0.011,0.005
0.012,0.014,0.002,-0.012,0.005,0.008
-0.017,0.009,0.026,0.004,-0.022,0.017
-0.035,0.005,0.04,0.015,-0.038,0.022
-0.023,0.005,0.029,0.009,-0.027,0.017
-0.016,0.002,0.019,0.006,-0.018,0.01
-0.011,-0.002,0.009,0.007,-0.01,0.003
-0.004,-0.006,-0.002,0.005,0.0,-0.004
0.0,-0.01,-0.01,0.005,0.005,-0.01
0.008,-0.014,-0.022,0.004,0.016,-0.018
0.015,-0.015,-0.03,0.001,0.023,-0.022
0.028,-0.016,-0.044,-0.005,0.036,-0.03
0.034,-0.021,-0.055,-0.006,0.045,-0.038
0.02,-0.025,-0.045,0.003,0.033,-0.035
0.012,-0.029,-0.04,0.009,0.026,-0.035
0.004,-0.034,-0.038,0.015,0.021,-0.036
-0.004,-0.035,-0.031,0.02,0.014,-0.033
-0.012,-0.036,-0.024,0.024,0.006,-0.03
-0.02,-0.04,-0.02,0.03,0.0,-0.03
-0.024,-0.041,-0.016,0.033,-0.004,-0.028
-0.028,-0.037,-0.009,0.033,-0.009,-0.023
-0.03,-0.033,-0.002,0.032,-0.014,-0.018
-0.03,-0.029,0.001,0.029,-0.015,-0.014
-0.03,-0.025,0.005,0.027,-0.017,-0.01
-0.03,-0.021,0.009,0.025,-0.019,-0.006
-0.031,-0.017,0.014,0.024,-0.022,-0.002
-0.027,-0.013,0.014,0.02,-0.02,0.001
-0.035,-0.009,0.026,0.022,-0.031,0.009
-0.06,-0.005,0.055,0.032,-0.057,0.025
-0.053,-0.001,0.052,0.027,-0.053,0.026
-0.046,0.003,0.049,0.021,-0.048,0.026
-0.044,0.007,0.05,0.018,-0.047,0.028
-0.039,0.011,0.05,0.014,-0.044,0.031
-0.035,0.015,0.05,0.01,-0.043,0.032
-0.036,0.014,0.05,0.011,-0.043,0.032
-0.027,0.023,0.05,0.002,-0.039,0.036
-0.013,0.037,0.05,-0.012,-0.031,0.044
-0.004,0.046,0.05,-0.021,-0.028,0.047
-0.005,0.045,0.05,-0.02,-0.028,0.047
-0.005,0.045,0.05,-0.02,-0.028,0.047
-0.005,0.045,0.05,-0.02,-0.028,0.047
-0.005,0.045,0.05,-0.02,-0.028,0.047
-0.005,0.045,0.05,-0.02,-0.028,0.047
-0.005,0.045,0.05,-0.02,-0.028,0.047
-0.004,0.047,0.05,-0.021,-0.028,0.048
-0.012,0.036,0.048,-0.012,-0.031,0.041
-0.012,0.046,0.058,-0.017,-0.035,0.051
-0.004,0.068,0.072,-0.032,-0.038,0.069
-0.01,0.06,0.07,-0.025,-0.04,0.065
-0.016,0.053,0.069,-0.018,-0.043,0.061
-0.003,0.073,0.076,-0.035,-0.04,0.074
0.007,0.091,0.084,-0.049,-0.039,0.087
-0.004,0.089,0.093,-0.043,-0.049,0.091
-0.015,0.09,0.105,-0.038,-0.06,0.097
0.0,0.106,0.106,-0.054,-0.053,0.105
0.012,0.115,0.103,-0.064,-0.046,0.109
0.002,0.114,0.112,-0.059,-0.055,0.113
-0.003,0.126,0.129,-0.062,-0.066,0.127
0.015,0.155,0.14,-0.085,-0.063,0.147
0.012,0.156,0.145,-0.085,-0.067,0.15
0.009,0.154,0.145,-0.082,-0.068,0.15
0.01,0.155,0.145,-0.083,-0.068,0.15
0.011,0.155,0.144,-0.083,-0.067,0.15
0.01,0.155,0.145,-0.083,-0.068,0.15
-0.006,0.156,0.161,-0.076,-0.084,0.159
-0.018,0.151,0.17,-0.067,-0.095,0.16
-0.002,0.168,0.17,-0.083,-0.086,0.168
0.024,0.195,0.17,-0.11,-0.073,0.182
0.03,0.2,0.17,-0.115,-0.07,0.185
0.034,0.204,0.17,-0.119,-0.068,0.186
0.035,0.208,0.173,-0.122,-0.069,0.19
0.035,0.211,0.176,-0.123,-0.07,0.193
0.035,0.21,0.175,-0.123,-0.07,0.192
0.035,0.21,0.175,-0.123,-0.07,0.192
0.039,0.214,0.175,-0.127,-0.068,0.195
0.041,0.216,0.174,-0.129,-0.067,0.195
0.037,0.214,0.177,-0.126,-0.07,0.195
0.036,0.216,0.18,-0.126,-0.073,0.198
0.045,0.225,0.18,-0.135,-0.068,0.202
0.061,0.241,0.18,-0.151,-0.06,0.21
0.077,0.258,0.181,-0.168,-0.052,0.219
0.092,0.27,0.178,-0.181,-0.044,0.224
0.093,0.276,0.183,-0.184,-0.046,0.229
0.08,0.28,0.2,-0.18,-0.06,0.24
0.088,0.289,0.201,-0.189,-0.056,0.245
0.09,0.29,0.2,-0.19,-0.055,0.244
0.109,0.309,0.2,-0.209,-0.046,0.254
0.115,0.323,0.209,-0.219,-0.048,0.266
0.085,0.31,0.225,-0.198,-0.07,0.267
0.118,0.343,0.226,-0.231,-0.054,0.284
0.123,0.348,0.225,-0.236,-0.051,0.287
0.129,0.352,0.223,-0.241,-0.047,0.288
0.153,0.382,0.229,-0.268,-0.039,0.306
0.15,0.4,0.25,-0.275,-0.05,0.325
0.149,0.396,0.247,-0.273,-0.049,0.322
0.151,0.395,0.244,-0.273,-0.047,0.319
0.148,0.394,0.245,-0.271,-0.049,0.319
0.144,0.389,0.245,-0.267,-0.05,0.316
0.145,0.39,0.245,-0.268,-0.05,0.317
